#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance edge major)	
1050	0.9817	1050	0.928314819015533	1050	0.259275292391074	1050	0.91594299598202	1050	0.139931285050129	
1055	0.98167	1055	0.933383591096981	1055	0.243890573346782	1055	0.919238917614409	1055	0.143237385768531	
1060	0.98164	1060	0.929923585540326	1060	0.229173484200887	1060	0.912248013647221	1060	0.14312349876554	
1065	0.98161	1065	0.927639577288551	1065	0.216619972764464	1065	0.918153881298373	1065	0.149984779673537	
1070	0.98158	1070	0.928256558128512	1070	0.203445990365652	1070	0.915652186103886	1070	0.153858581949244	
1075	0.98155	1075	0.927476489699351	1075	0.189659994560713	1075	0.913556461025758	1075	0.163877762505805	
1080	0.98152	1080	0.929438540741156	1080	0.184040229536101	1080	0.913096747811661	1080	0.177630564056387	
1085	0.98149	1085	0.924341391793227	1085	0.178684287967245	1085	0.914362609333124	1085	0.195936043842979	
1090	0.98146	1090	0.928066939936985	1090	0.17235532254638	1090	0.912599886910666	1090	0.21732027311457	
1095	0.98143	1095	0.924769925247448	1095	0.168332183901791	1095	0.905792560182054	1095	0.233612732637481	
1100	0.9814	1100	0.914444500681402	1100	0.16574627402803	1100	0.899953162382816	1100	0.268804251173424	
