572+0i,3.98871+0i,0.26392+0i,15.8401536977-2.1054006864i
573+0i,3.98581+0i,0.26247+0i,15.8177908552-2.0923111014i
574+0i,3.98291+0i,0.26103+0i,15.7954354072-2.0793179946i
575+0i,3.98+0i,0.25958+0i,15.7730182236-2.0662568i
576+0i,3.9771+0i,0.25814+0i,15.7506881504-2.053297188i
577+0i,3.97429+0i,0.25675+0i,15.7290604416-2.040797915i
578+0i,3.97174+0i,0.2555+0i,15.7094383776-2.02955914i
579+0i,3.9692+0i,0.25426+0i,15.6899004924-2.018417584i
580+0i,3.96665+0i,0.25302+0i,15.6702931021-2.007283566i
581+0i,3.96411+0i,0.25177+0i,15.6507799592-1.9960879494i
582+0i,3.96157+0i,0.25053+0i,15.631271584-1.9849842642i
583+0i,3.95902+0i,0.24929+0i,15.6116938563-1.9738881916i
584+0i,3.95648+0i,0.24805+0i,15.5922051879-1.962809728i
585+0i,3.95393+0i,0.2468+0i,15.5726522049-1.951659848i
586+0i,3.95139+0i,0.24556+0i,15.5531832185-1.9406066568i
587+0i,3.94884+0i,0.24432+0i,15.5336450832-1.9295611776i
588+0i,3.9463+0i,0.24308+0i,15.5141958036-1.918533208i
589+0i,3.94376+0i,0.24183+0i,15.4947611887-1.9074389616i
590+0i,3.94121+0i,0.24059+0i,15.475252716-1.8964314278i
591+0i,3.93882+0i,0.23946+0i,15.4569619008-1.8863796744i
592+0i,3.93658+0i,0.23844+0i,15.4398084628-1.8772762704i
593+0i,3.93434+0i,0.23742+0i,15.4226629792-1.8681820056i
594+0i,3.93209+0i,0.23639+0i,15.405451536-1.8590135102i
595+0i,3.92985+0i,0.23537+0i,15.3883219856-1.849937589i
596+0i,3.92761+0i,0.23434+0i,15.3712050765-1.8407922548i
597+0i,3.92536+0i,0.23332+0i,15.3540129072-1.8317299904i
598+0i,3.92312+0i,0.23229+0i,15.3369118903-1.8226030896i
599+0i,3.92088+0i,0.23127+0i,15.3198141615-1.8135638352i
